year,week,SAN JOSE,ALAJUELA,HEREDIA,SAN CARLOS,PUNTARENAS,DESAMPARADOS,CARTAGO,PEREZ ZELEDON,POCOCI,MONTES DE OCA,LIBERIA,GOICOECHEA,LIMON,SANTA CRUZ,GARABITO,SIQUIRRES,SAN RAMON,NICOYA,QUEPOS,CURRIDABAT,TURRIALBA,LA UNION,TIBAS,OSA,TALAMANCA,ESCAZU,SARAPIQUI,MATINA,CORREDORES,ALAJUELITA,GOLFITO,MORAVIA,UPALA,GRECIA,SANTA ANA,SAN RAFAEL,GUACIMO,VASQUEZ DE CORONADO,CARRILLO,SANTO DOMINGO,OROTINA,BUENOS AIRES,ASERRI,PARAISO,COTO BRUS,PARRITA,BARVA,ESPARZA,LOS CHILES,BELEN,EL GUARCO,SANTA BARBARA,OREAMUNO,PURISCAL,SAN PABLO,PALMARES,ATENAS,FLORES,NARANJO,CANAS,POAS,BAGACES,LA CRUZ,MORA,ABANGARES,TILARAN,SAN ISIDRO,GUATUSO,JIMENEZ,MONTES DE ORO,TARRAZU,ALVARADO,ACOSTA,LEON CORTES,SAN MATEO,VALVERDE VEGA,RIO CUARTO,NANDAYURE,HOJANCHA,TURRUBARES,ZARCERO,DOTA,MONTEVERDE
2015,16,155,65,38,59,35,30,26,35,26,20,24,23,28,12,19,16,14,24,16,15,14,13,17,10,14,12,10,8,20,12,8,9,14,11,15,8,6,9,6,9,11,9,3,7,6,7,8,3,7,9,7,5,8,4,7,6,5,3,4,10,1,6,4,5,6,6,3,3,0,1,2,2,3,2,0,4,0,3,2,0,0,0,0
2015,17,130,65,47,33,27,35,37,39,24,46,28,26,28,14,13,27,15,20,15,11,16,15,14,12,11,15,20,9,7,17,12,9,13,8,6,8,8,8,12,8,10,12,4,8,8,9,5,5,8,2,6,5,2,5,3,2,6,2,3,5,7,4,3,3,3,2,2,5,2,2,1,0,1,1,0,2,0,2,1,1,1,1,0
2015,18,139,67,37,30,28,27,30,33,25,22,15,26,31,17,18,9,18,21,19,13,16,12,7,10,23,13,16,8,13,7,12,14,14,14,15,3,14,9,10,8,9,3,11,4,1,4,6,7,4,3,8,0,5,2,7,1,1,0,4,4,3,2,10,4,3,4,4,3,1,1,2,0,3,1,1,4,0,2,2,1,0,0,0
2015,19,126,57,45,33,38,25,28,32,27,27,20,24,21,15,21,18,27,18,23,13,19,15,22,5,5,14,12,5,10,13,14,10,14,10,17,11,11,10,13,9,5,8,7,8,7,5,3,5,3,5,5,1,2,6,4,4,3,6,0,7,4,6,1,4,3,3,3,3,2,1,2,1,1,2,0,0,0,0,4,0,1,1,0
2015,20,163,63,39,49,45,30,26,27,27,25,37,22,30,24,9,15,9,18,12,17,11,14,22,13,8,9,6,11,11,16,15,10,15,12,5,7,10,12,9,8,5,7,6,17,6,3,5,5,4,5,4,8,7,4,6,6,1,9,4,7,4,5,9,2,1,2,3,1,1,0,1,0,0,2,3,0,0,1,1,1,0,0,0
2015,21,168,71,125,42,44,32,26,16,38,22,27,22,13,19,15,11,22,18,15,10,9,17,11,13,9,18,8,9,11,11,17,4,11,17,5,7,6,16,11,12,8,9,11,5,5,6,3,3,5,3,6,3,5,8,6,13,4,5,3,9,5,2,1,4,2,1,3,2,3,2,0,1,1,0,0,1,0,2,1,0,3,1,0
2015,22,158,65,68,55,38,32,26,17,25,13,29,27,18,20,10,10,27,16,9,15,12,24,16,15,11,8,7,5,15,13,5,11,7,8,7,12,11,12,12,8,13,5,19,5,6,5,4,1,10,8,6,2,10,6,6,4,2,3,8,7,1,2,5,3,2,5,1,2,2,1,0,0,4,0,0,5,0,0,4,1,0,0,0
2015,23,164,48,44,34,42,22,33,22,25,27,26,13,15,17,13,17,11,9,13,11,9,14,16,12,15,10,10,3,11,15,13,11,5,17,8,1,6,5,5,13,7,8,4,6,3,4,14,3,7,3,7,5,14,6,2,2,1,6,5,7,4,4,3,1,3,3,4,3,2,0,1,2,1,2,1,3,0,0,0,1,2,0,0
2015,24,166,50,35,31,37,43,29,29,26,26,22,24,22,7,16,15,26,6,22,27,18,17,9,9,13,15,15,6,13,11,13,5,10,11,6,6,6,8,10,4,2,6,11,10,2,0,3,7,6,1,4,7,4,2,2,4,5,10,2,8,6,4,2,2,2,4,1,2,3,1,1,1,0,1,1,1,0,1,0,0,0,0,0
2015,25,158,47,35,45,36,22,33,37,27,27,22,24,14,9,16,6,17,14,28,15,13,13,12,16,7,15,8,7,18,10,14,5,13,12,12,5,10,8,19,9,5,5,11,8,6,6,6,6,3,3,5,5,2,5,4,2,0,5,8,6,4,5,7,3,4,1,1,2,5,2,2,1,1,3,1,0,0,0,1,0,0,0,0
2015,26,180,59,44,36,28,53,38,28,29,27,21,20,13,11,22,24,21,18,8,14,12,26,17,14,10,10,11,15,10,12,10,20,10,13,8,8,4,10,7,10,6,6,5,7,10,7,3,3,6,8,6,5,4,7,6,5,6,1,3,6,3,2,7,4,2,6,2,2,1,4,4,1,1,2,0,2,0,0,1,0,0,0,0
2015,27,178,65,32,34,47,40,35,25,24,12,36,21,21,24,31,14,24,17,17,21,12,16,12,10,8,19,24,5,14,12,11,13,13,14,3,10,6,9,9,13,5,5,4,2,4,8,5,12,4,6,10,6,6,4,7,1,0,3,1,7,2,5,3,3,5,3,3,9,2,1,1,1,0,3,0,4,0,2,1,1,1,2,0
2015,28,177,54,34,127,44,22,33,16,32,22,17,19,16,13,21,12,16,13,12,21,17,19,16,13,7,11,15,13,16,10,8,12,7,6,6,8,7,3,9,9,3,10,1,5,4,5,4,9,4,7,6,4,2,5,2,0,3,4,5,5,3,4,4,2,4,1,3,3,1,5,1,2,0,2,0,2,0,1,0,1,1,0,0
2015,29,154,69,28,28,40,31,41,22,22,27,30,21,24,22,32,15,18,19,9,10,17,18,14,11,21,11,11,14,7,14,5,15,9,6,15,15,6,7,11,9,8,7,6,7,7,11,4,9,5,5,11,4,4,3,1,3,3,3,4,5,5,2,3,5,3,11,1,4,0,6,3,0,1,1,0,1,0,1,0,0,3,1,0
2015,30,146,80,37,29,32,32,41,25,28,21,43,9,12,15,25,12,14,31,20,5,9,22,13,13,12,12,9,8,13,13,13,11,14,12,10,6,9,11,14,9,3,7,6,8,2,9,7,8,6,5,9,5,7,5,6,3,9,6,5,4,5,3,6,2,3,7,5,4,4,1,3,0,1,2,2,1,0,0,1,2,0,1,0
2015,31,176,79,42,32,34,39,48,26,23,24,22,18,32,12,23,12,27,15,22,12,12,19,16,13,13,21,11,14,5,12,20,12,11,9,5,16,6,6,12,13,3,3,7,7,9,8,12,4,8,6,14,6,8,3,8,3,1,13,2,8,2,5,6,7,2,2,6,3,2,2,2,1,0,3,0,3,0,0,0,0,0,1,0
2015,32,158,52,60,29,51,32,28,21,22,29,20,17,14,12,15,20,15,15,12,10,15,9,10,16,18,7,11,16,3,9,9,8,16,10,8,12,7,4,12,10,6,3,8,8,7,8,3,5,0,3,10,3,8,3,7,1,7,5,3,5,2,2,5,2,7,5,2,8,0,1,2,0,1,0,0,2,0,0,0,2,2,0,0
2015,33,151,81,43,35,40,23,18,29,26,32,28,21,24,25,10,19,20,14,16,17,21,19,11,18,28,16,14,15,17,6,13,15,7,5,13,17,13,4,12,13,6,8,3,19,3,11,4,9,7,3,7,8,11,6,4,3,3,4,3,4,2,7,3,0,2,5,4,3,4,2,2,2,2,3,0,3,0,0,1,0,0,1,0
2015,34,177,65,40,49,41,29,41,30,30,24,25,16,31,15,12,10,11,14,10,11,13,16,12,9,14,12,16,12,10,7,12,6,9,9,9,7,14,1,12,20,5,4,5,6,2,11,4,6,13,5,5,2,9,4,3,2,6,5,4,7,2,1,3,0,1,2,4,3,2,0,3,0,1,1,2,1,0,3,1,0,1,0,0
